                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76724,                 2.2115,                 1.2762,                0.00254,                      1,                0.83165,                0.64172,                0.65841,                 2.8906,                 1.3094,                 0.0006,                 0.0006,                 0.0006
                      2,                0.66159,                 1.3611,                 1.1283,                0.00254,                      1,                0.80389,                0.66556,                0.99567,                 2.6364,                 2.1679,              0.0012079,              0.0012079,              0.0012079
                      3,                0.66256,                 1.1607,                 1.0997,                0.75252,                0.95581,                0.81639,                0.72112,                0.60202,                 2.1959,                 1.2054,              0.0018036,              0.0018036,              0.0018036
                      4,                0.60932,                 1.0042,                  1.061,                0.00736,                0.97143,                0.82365,                0.56928,                0.94965,                 2.3117,                 1.5579,              0.0019406,              0.0019406,              0.0019406
                      5,                0.59821,                0.92809,                 1.0599,                0.70946,                0.62857,                0.81839,                0.63605,                0.85679,                 1.8949,                 1.5811,              0.0019208,              0.0019208,              0.0019208
                      6,                0.56794,                0.84817,                 1.0514,                0.82005,                0.94286,                0.94141,                0.84431,                0.47518,                0.76214,                  1.019,               0.001901,               0.001901,               0.001901
                      7,                0.54878,                0.81016,                 1.0411,                0.70534,                0.97143,                0.88197,                0.80514,                 0.4325,                0.97311,                 1.0101,              0.0018812,              0.0018812,              0.0018812
                      8,                0.55154,                0.73466,                 1.0319,                0.75548,                      1,                0.95378,                0.77923,                0.51956,                0.81416,                 1.0495,              0.0018614,              0.0018614,              0.0018614
                      9,                0.51101,                0.67631,                 1.0126,                 0.7518,                      1,                 0.9446,                0.80897,                0.50974,                0.99428,                 1.0193,              0.0018416,              0.0018416,              0.0018416
                     10,                0.51129,                0.68899,                 1.0113,                0.75986,                      1,                0.95171,                0.87803,                0.46753,                0.64238,                 1.0434,              0.0018218,              0.0018218,              0.0018218
                     11,                0.48886,                 0.6605,                0.99413,                0.76048,                      1,                0.96526,                0.80626,                0.71986,                0.75292,                 1.3414,               0.001802,               0.001802,               0.001802
                     12,                0.49166,                0.67331,                 1.0029,                0.84938,                      1,                0.98234,                0.95071,                0.35893,                0.52683,                0.94833,              0.0017822,              0.0017822,              0.0017822
                     13,                0.46416,                0.62042,                0.97782,                 0.7779,                      1,                0.97904,                0.91717,                0.57573,                0.63995,                 1.1184,              0.0017624,              0.0017624,              0.0017624
                     14,                0.44698,                 0.5972,                0.96642,                 0.7859,                      1,                 0.9799,                0.85692,                0.59026,                 0.4908,                 1.1247,              0.0017426,              0.0017426,              0.0017426
                     15,                0.44155,                0.58825,                0.97777,                0.75901,                      1,                0.95786,                0.89044,                0.42544,                0.46925,                0.99963,              0.0017228,              0.0017228,              0.0017228
                     16,                0.47097,                0.60016,                0.98097,                0.75909,                      1,                0.91518,                0.86167,                0.34464,                 0.5804,                 0.9281,               0.001703,               0.001703,               0.001703
                     17,                  0.462,                0.57274,                0.98186,                0.76081,                      1,                0.97809,                0.93167,                0.31444,                0.44603,                0.92649,              0.0016832,              0.0016832,              0.0016832
                     18,                0.44032,                0.57332,                0.96505,                0.75895,                      1,                0.93519,                0.83793,                0.40586,                 0.5084,                0.96979,              0.0016634,              0.0016634,              0.0016634
