epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7703,0.75363,3.55501,3.18263,1.3579,0.00393,1,0.20519,0.11561,0.00393,1,0.20519,0.14507,0.23223,1.92005,3.02167,1.02064,0.00012861,0.00012861,0.00012861
2,41.6633,1.02137,3.15264,3.06434,1.54676,0.00313,0.125,0.0114,0.00228,0,0,0,0,3.80534,110.241,4.73926,5.10995,0.000268822,0.000268822,0.000268822
3,48.8607,1.10967,1.57278,2.61212,1.54987,0.00641,0.125,0.00566,0.0009,0,0,0,0,4.13811,10056.4,366.059,35.8742,0.000406205,0.000406205,0.000406205
4,57.4288,1.31437,1.43644,2.41208,1.72984,0.05899,0.125,0.07529,0.04329,0.05641,0.125,0.05085,0.01503,1.70884,1230,26.2338,42.2251,0.000540758,0.000540758,0.000540758
5,65.8421,1.22122,1.42496,2.2489,1.69358,0.00405,0.875,0.00423,0.00125,0,0,0,0,3.4571,nan,1959.42,30.3035,0.000672482,0.000672482,0.000672482
6,73.7123,1.17474,1.29061,2.25529,1.64134,0.0069,0.25,0.00779,0.00173,0,0,0,0,3.55466,1767.81,1123.73,33.2069,0.000801376,0.000801376,0.000801376
7,80.9152,1.08478,1.43101,2.14794,1.59502,0.00211,0.25,0.00171,0.00034,0,0,0,0,4.06774,nan,inf,80.5428,0.000927441,0.000927441,0.000927441
8,88.6963,1.08589,1.64573,2.1388,1.59604,0.00211,0.25,0.00171,0.00034,0,0,0,0,5.43494,nan,inf,682.37,0.00105068,0.00105068,0.00105068
9,95.5296,1.22912,1.41822,2.18192,1.67995,0.00211,0.25,0.00171,0.00034,0,0,0,0,4.59909,1336.99,1292.95,120.252,0.00117108,0.00117108,0.00117108
10,103.327,1.25738,1.44869,1.98381,1.67065,0.00715,0.25,0.00982,0.00122,0,0,0,0,3.22986,165.797,76.7006,7.66644,0.00128866,0.00128866,0.00128866
11,110.241,1.084,1.49315,2.01199,1.56796,0.00715,0.25,0.00982,0.00122,0,0,0,0,4.70391,101.769,15.3172,9.21444,0.00128753,0.00128753,0.00128753
12,118.1,1.21932,1.61076,2.08472,1.67761,0.50307,0.125,0.00101,0.0001,0,0,0,0,4.43087,163.442,68.9527,9.01006,0.00127338,0.00127338,0.00127338
13,125.524,1.14126,1.41927,1.99791,1.60243,0.00133,0.25,0.00117,0.00021,0,0,0,0,4.07666,439.094,9.16695,7.31312,0.00125923,0.00125923,0.00125923
14,132.584,1.12681,1.29104,1.97973,1.60008,0.02475,0.625,0.02538,0.01212,0.02475,0.625,0.02538,0.00618,2.65878,65.2468,33.857,5.17686,0.00124509,0.00124509,0.00124509
15,140.605,1.039,1.18215,1.83861,1.5148,0.57355,0.125,0.02067,0.00663,0.57355,0.125,0.02067,0.00602,3.47493,88.0842,7.71685,5.78872,0.00123094,0.00123094,0.00123094
16,147.435,1.01957,1.04565,1.79261,1.46654,0.51183,0.125,0.00448,0.00064,0,0,0,0,3.98894,103.52,6.57578,9.02816,0.00121679,0.00121679,0.00121679
17,155.421,1.05862,1.168,1.86153,1.51814,0.51066,0.125,0.00606,0.00295,0.00067,0.125,0.00065,7e-05,3.18426,66.501,6.76261,6.12065,0.00120265,0.00120265,0.00120265
18,162.203,1.06479,1.14446,1.75107,1.51465,0.09158,0.625,0.50005,0.09976,0,0,0,0,4.00275,175.989,4.46269,5.011,0.0011885,0.0011885,0.0011885
19,169.578,0.82602,1.03174,1.71763,1.35151,0.50936,0.125,0.04156,0.01183,0,0,0,0,3.6463,101.276,4.95794,4.29626,0.00117435,0.00117435,0.00117435
20,176.94,0.85757,1.15742,1.7472,1.41164,0.52805,0.125,0.03269,0.00637,0.52805,0.125,0.00903,0.00181,3.66547,28.1622,5.01176,3.98919,0.00116021,0.00116021,0.00116021
21,183.867,0.90627,1.09518,1.66809,1.39439,0.00413,0.875,0.03984,0.02906,0.00071,0.125,0.00051,0.0001,3.2786,27.3337,5.35356,3.64711,0.00114606,0.00114606,0.00114606
22,191.722,0.86058,1.13436,1.63326,1.35858,0.59879,0.875,0.69286,0.55855,0.59879,0.875,0.69286,0.37906,0.79032,12.9896,2.12814,1.73742,0.00113191,0.00113191,0.00113191
23,198.785,0.84905,1.01935,1.59396,1.35167,0.28475,0.75,0.42756,0.30234,0.28475,0.75,0.42131,0.28555,1.34818,2.12618,2.61232,2.4121,0.00111776,0.00111776,0.00111776
24,206.686,0.92809,0.95161,1.63144,1.43146,0.57235,0.875,0.73236,0.52916,0.57235,0.875,0.73236,0.59357,1.04524,1.3666,2.64045,2.21786,0.00110362,0.00110362,0.00110362
